"Alive" "Dead" "Mortality"
"metastatic" 1116 7255 86.6682594672082
"chf" 95939 84211 46.7449347765751
"dementia" 3548 8648 70.9084945883896
"renal" 15514 22223 58.8891538808066
"wtloss" 398 1326 76.9141531322506
"hemiplegia" 1525 2350 60.6451612903226
"alcohol" 294 218 42.578125
"tumor" 6575 15294 69.9346106360602
"arrhythmia" 42706 36896 46.3505942061757
"pulmonarydz" 22246 25179 53.0922509225092
"coagulopathy" 821 1281 60.941960038059
"compdiabetes" 5803 5879 50.3252867659647
"anemia" 8043 10345 56.2595170763542
"electrolytes" 4625 8330 64.2994982632188
"liver" 3509 4259 54.8274974253347
"pvd" 8183 8751 51.6770993267982
"psychosis" 1063 831 43.8753959873284
"pulmcirc" 6379 6125 48.9843250159949
"hivaids" 110 73 39.8907103825137
"hypertension" 35442 26249 42.5491562788737
"ICD" 7685 1585 17.0981661272923
"SHOCK" 1177 8813 88.2182182182182
"CABG" 5012 1711 25.4499479399078
