"Group.1" "dead" "patients" "prob"
"2" 1 573 599 0.956594323873122
"3" 2 402 453 0.887417218543046
"4" 3 412 504 0.817460317460317
"5" 4 375 429 0.874125874125874
"6" 5 372 388 0.958762886597938
"7" 6 382 398 0.959798994974874
"8" 7 388 503 0.771371769383698
"9" 8 352 372 0.946236559139785
"10" 9 388 444 0.873873873873874
"11" 10 359 459 0.782135076252723
"12" 11 310 394 0.786802030456853
"13" 12 315 391 0.805626598465473
"14" 13 287 387 0.741602067183463
"15" 14 295 353 0.835694050991501
"16" 15 280 291 0.962199312714777
"17" 16 322 361 0.89196675900277
"18" 17 270 354 0.76271186440678
"19" 18 247 339 0.728613569321534
"20" 19 266 343 0.775510204081633
"21" 20 252 332 0.759036144578313
"22" 21 259 319 0.811912225705329
"23" 22 243 252 0.964285714285714
"24" 23 256 290 0.882758620689655
"25" 24 247 330 0.748484848484849
"26" 25 218 295 0.738983050847458
"27" 26 215 296 0.726351351351351
"28" 27 222 310 0.716129032258065
"29" 28 219 284 0.77112676056338
"30" 29 209 222 0.941441441441441
"31" 30 210 242 0.867768595041322
"32" 31 230 323 0.712074303405573
"33" 32 197 279 0.706093189964158
"34" 33 206 303 0.67986798679868
"35" 34 206 281 0.733096085409253
"36" 35 184 266 0.691729323308271
"37" 36 206 222 0.927927927927928
"38" 37 197 232 0.849137931034483
"39" 38 186 263 0.707224334600761
"40" 39 185 260 0.711538461538462
"41" 40 182 261 0.697318007662835
"42" 41 162 237 0.683544303797468
"43" 42 216 288 0.75
"44" 43 208 221 0.941176470588235
"45" 44 167 219 0.762557077625571
"46" 45 172 257 0.669260700389105
"47" 46 152 228 0.666666666666667
"48" 47 173 255 0.67843137254902
"49" 48 156 232 0.672413793103448
"50" 49 181 244 0.741803278688525
"51" 50 167 179 0.932960893854749
"52" 51 150 192 0.78125
"53" 52 155 246 0.630081300813008
"54" 53 140 219 0.639269406392694
"55" 54 173 265 0.652830188679245
"56" 55 144 213 0.676056338028169
"57" 56 157 230 0.682608695652174
"58" 57 130 141 0.921985815602837
"59" 58 135 152 0.888157894736842
"60" 59 168 247 0.680161943319838
"61" 60 153 178 0.859550561797753
"62" 61 153 259 0.590733590733591
"63" 62 156 221 0.705882352941177
"64" 63 159 211 0.753554502369668
"65" 64 158 169 0.93491124260355
"66" 65 135 171 0.789473684210526
"67" 66 148 241 0.614107883817427
"68" 67 135 189 0.714285714285714
"69" 68 132 190 0.694736842105263
"70" 69 138 208 0.663461538461538
"71" 70 133 197 0.6751269035533
"72" 71 139 147 0.945578231292517
"73" 72 130 171 0.760233918128655
"74" 73 102 197 0.517766497461929
"75" 74 115 163 0.705521472392638
"76" 75 122 181 0.674033149171271
"77" 76 129 203 0.635467980295567
"78" 77 130 193 0.673575129533679
"79" 78 133 149 0.89261744966443
"80" 79 114 148 0.77027027027027
"81" 80 135 220 0.613636363636364
"82" 81 98 162 0.604938271604938
"83" 82 123 184 0.668478260869565
"84" 83 142 207 0.685990338164251
"85" 84 116 161 0.720496894409938
"86" 85 119 134 0.888059701492537
"87" 86 113 142 0.795774647887324
"88" 87 115 197 0.583756345177665
"89" 88 119 197 0.604060913705584
"90" 89 128 191 0.670157068062827
"91" 90 111 178 0.623595505617977
"92" 91 121 169 0.715976331360947
"93" 92 131 144 0.909722222222222
"94" 93 123 153 0.803921568627451
"95" 94 107 180 0.594444444444444
"96" 95 103 153 0.673202614379085
"97" 96 110 156 0.705128205128205
"98" 97 112 176 0.636363636363636
"99" 98 104 151 0.688741721854305
"100" 99 100 116 0.862068965517241
"101" 100 112 141 0.794326241134752
"102" 101 87 154 0.564935064935065
"103" 102 114 165 0.690909090909091
"104" 103 103 161 0.639751552795031
"105" 104 103 165 0.624242424242424
"106" 105 92 161 0.571428571428571
"107" 106 104 123 0.845528455284553
"108" 107 94 123 0.764227642276423
"109" 108 88 155 0.567741935483871
"110" 109 99 148 0.668918918918919
"111" 110 93 149 0.624161073825503
"112" 111 103 160 0.64375
"113" 112 96 152 0.631578947368421
"114" 113 91 105 0.866666666666667
"115" 114 89 114 0.780701754385965
"116" 115 77 123 0.626016260162602
"117" 116 94 141 0.666666666666667
"118" 117 95 142 0.669014084507042
"119" 118 94 132 0.712121212121212
"120" 119 103 135 0.762962962962963
"121" 120 87 93 0.935483870967742
"122" 121 104 133 0.781954887218045
"123" 122 86 125 0.688
"124" 123 75 128 0.5859375
"125" 124 84 131 0.641221374045801
"126" 125 74 117 0.632478632478632
"127" 126 94 136 0.691176470588235
"128" 127 87 102 0.852941176470588
"129" 128 85 110 0.772727272727273
"130" 129 90 135 0.666666666666667
"131" 130 81 121 0.669421487603306
"132" 131 83 127 0.653543307086614
"133" 132 89 134 0.664179104477612
"134" 133 96 142 0.676056338028169
"135" 134 110 119 0.92436974789916
"136" 135 92 120 0.766666666666667
"137" 136 84 129 0.651162790697674
"138" 137 96 140 0.685714285714286
"139" 138 77 99 0.777777777777778
"140" 139 80 140 0.571428571428571
"141" 140 96 143 0.671328671328671
"142" 141 92 101 0.910891089108911
"143" 142 83 110 0.754545454545455
"144" 143 72 121 0.59504132231405
"145" 144 77 109 0.706422018348624
"146" 145 90 146 0.616438356164384
"147" 146 92 130 0.707692307692308
"148" 147 86 122 0.704918032786885
"149" 148 80 91 0.879120879120879
"150" 149 73 102 0.715686274509804
"151" 150 78 132 0.590909090909091
"152" 151 75 117 0.641025641025641
"153" 152 64 108 0.592592592592593
"154" 153 78 125 0.624
"155" 154 68 109 0.623853211009174
"156" 155 77 87 0.885057471264368
"157" 156 68 91 0.747252747252747
"158" 157 88 145 0.606896551724138
"159" 158 98 140 0.7
"160" 159 78 133 0.586466165413534
"161" 160 77 123 0.626016260162602
"162" 161 76 115 0.660869565217391
"163" 162 59 67 0.880597014925373
"164" 163 52 79 0.658227848101266
"165" 164 65 119 0.546218487394958
"166" 165 63 107 0.588785046728972
"167" 166 64 105 0.60952380952381
"168" 167 64 116 0.551724137931034
"169" 168 73 105 0.695238095238095
"170" 169 74 82 0.902439024390244
"171" 170 82 110 0.745454545454545
"172" 171 77 147 0.523809523809524
